zip5,total_shifts,filled,unfilled,cancelled,unmet,city,state,unmet_rate,fill_rate,lat,lng,population,density,county_name,state_name,timezone,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate,city_label,state_label,score_unmet,score_volume,score_elderly,score_poverty,score_density,demand_pressure_score
06042,45,43,0,2,2,MANCHESTER,CT,0.0444444444444444,0.9555555555555556,41.79743,-72.52704,23302.0,858.7,Capitol,Connecticut,America/New_York,22663.0,3612.0,0.1593787230287252,87808.0,0.0548936811943899,MANCHESTER,CT,0.04444444439999995,0.0006321112515800784,0.2427745661041806,0.6897456506300231,0.013673915258987273,16.687551347413336
06053,45,44,0,1,1,New Britain,CT,0.0222222222222222,0.9777777777777776,41.68874,-72.7941,35697.0,1734.0,Capitol,Connecticut,America/New_York,34405.0,4694.0,0.1364336578985612,59633.0,0.0642724128757648,New Britain,CT,0.022222222199999975,0.0003160556257900392,0.2078233622963565,0.8095632981641393,0.027612168462890337,17.250606459662873
06062,68,67,0,1,1,PLAINVILLE,CT,0.0147058823529411,0.9852941176470588,41.67338,-72.86079,17499.0,771.9,Capitol,Connecticut,America/New_York,17537.0,3414.0,0.1946741175799737,78867.0,0.0281385281385281,PLAINVILLE,CT,0.014705882338235216,0.0003160556257900392,0.29653848097825597,0.7277683511305567,0.012291714438584227,17.41928989170112
06071,39,35,0,4,4,Somers,CT,0.1025641025641025,0.8974358974358975,41.99489,-72.45213,10554.0,141.0,Capitol,Connecticut,America/New_York,10495.0,2079.0,0.198094330633635,106600.0,0.0321643494500933,Somers,CT,0.1025641024615384,0.0012642225031601567,0.30174834038926923,0.6098303628763014,0.0022452801345256845,18.31340368870032
06074,51,40,1,10,11,South Windsor,CT,0.2156862745098039,0.7843137254901961,41.83528,-72.57332,26820.0,369.1,Capitol,Connecticut,America/New_York,26805.0,4202.0,0.1567617981719828,134080.0,0.034232009329766,South Windsor,CT,0.2156862742941176,0.003476611883690431,0.23878832010754045,0.49296828819174016,0.005877538281230002,18.786569633754997
06076,68,65,0,3,3,Stafford Springs,CT,0.0441176470588235,0.9558823529411764,41.98906,-72.26224,11989.0,53.5,Capitol,Connecticut,America/New_York,11949.0,2443.0,0.2044522554188635,92083.0,0.0598166205792461,Stafford Springs,CT,0.044117647014705844,0.0009481668773701175,0.3114330862682952,0.6715656881381564,0.0008519325333129371,17.657899955146807
06082,28,15,0,13,13,Enfield,CT,0.4642857142857143,0.5357142857142857,41.98393,-72.55475,41100.0,476.3,Capitol,Connecticut,America/New_York,41346.0,7095.0,0.1716006385140037,90741.0,0.063460431336079,Enfield,CT,0.4642857138214285,0.004108723135270509,0.26139166989642065,0.6772727079426207,0.0075845881423729335,29.49405939151607
06084,87,84,0,3,3,Tolland,CT,0.0344827586206896,0.9655172413793104,41.87917,-72.36443,14685.0,141.5,Capitol,Connecticut,America/New_York,14640.0,2412.0,0.1647540983606557,133005.0,0.0164276081892852,Tolland,CT,0.034482758586206835,0.0009481668773701175,0.2509626378182534,0.49753985770723885,0.002253242120818329,13.56306997270229
06098,121,95,4,22,26,WINSTED,CT,0.2148760330578512,0.7851239669421488,41.92379,-73.10003,10200.0,128.2,Northwest Hills,Connecticut,America/New_York,10197.0,2557.0,0.2507600274590565,72625.0,0.058801637513956,WINSTED,CT,0.21487603284297513,0.008217446270541018,0.3819716691523037,0.7543132226800847,0.002041453285433991,25.626263398154457
06105,55,53,0,2,2,Hartford,CT,0.0363636363636363,0.9636363636363636,41.77322,-72.70442,18660.0,3178.8,Capitol,Connecticut,America/New_York,19002.0,2560.0,0.1347226607725502,37725.0,0.0999018645731109,Hartford,CT,0.03636363632727266,0.0006321112515800784,0.2052170759804726,0.9027297585785996,0.05061912405411523,19.258191009937278
