geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
DEEP RIVER,CT,207,205,0,2,2,0.00966183574879227
DEER PARK,NY,336,310,0,26,26,0.07738095238095238
DELANSON,NY,89,37,0,52,52,0.5842696629213483
DELMAR,NY,94,85,0,9,9,0.09574468085106383
DERBY,CT,38,36,0,2,2,0.05263157894736842
DIX Hill,NY,74,33,0,41,41,0.5540540540540541
DOBBS FERRY,NY,114,96,0,18,18,0.15789473684210525
DOUGLASTON,NY,224,161,0,63,63,0.28125
DRESHER,PA,44,43,0,1,1,0.022727272727272728
DREXEL HILL,PA,110,108,0,2,2,0.01818181818181818
DRIFTWOOD,TX,62,60,0,2,2,0.03225806451612903
DUANESBURG,NY,64,43,0,21,21,0.328125
DUNCANSVILLE,PA,52,46,0,6,6,0.11538461538461539
DUQUESNE,PA,221,188,0,33,33,0.1493212669683258
DURHAM,CT,27,18,0,9,9,0.3333333333333333
DURHAM,NC,1,1,0,0,0,0.0
Danbury,CT,163,100,0,63,63,0.38650306748466257
Darby,PA,62,62,0,0,0,0.0
Darien,CT,16,16,0,0,0,0.0
Darien,IL,2,2,0,0,0,0.0
Darlington,WI,25,21,0,4,4,0.16
De Soto,MO,28,23,0,5,5,0.17857142857142858
Deer Park,NY,13,8,0,5,5,0.38461538461538464
Delmar,NY,109,101,4,4,8,0.07339449541284404
Delta,CO,4,4,0,0,0,0.0
Denver,CO,2823,2728,0,95,95,0.03365214311016649
Derby,CT,24,17,0,7,7,0.2916666666666667
Derby,NY,42,0,42,0,42,1.0
Des Plaines,IL,169,158,0,11,11,0.0650887573964497
Dexter,MO,7,7,0,0,0,0.0
Dickeyville,WI,5,5,0,0,0,0.0
Dix Hills,NY,550,530,2,18,20,0.03636363636363636
Dobbs Ferry,NY,213,196,0,17,17,0.07981220657276995
Dobson,NC,16,14,0,2,2,0.125
Dodgeville,WI,68,56,0,12,12,0.17647058823529413
Dolton,IL,158,145,0,13,13,0.08227848101265822
Dorchester,MA,1474,1031,29,414,443,0.3005427408412483
Dorchester Center,MA,1351,985,4,362,366,0.27091043671354553
